I1,I2,La,Lb,Mab,FLUX_in_RCORE,FLUX_in_LCORE,FLUX_in_UCORE,Leak_R,Leak_L
240,160,1.42E-04,7.30E-05,-3.56E-05,2.027826102,-0.411909532,-1.691822511,0.049435665,0.047490665
240,180,1.21E-04,7.52E-05,-3.22E-05,1.979522817,-0.062337941,-1.597447278,0.054007971,0.053494319
240,200,1.02E-04,7.69E-05,-2.82E-05,1.946153594,0.032591254,-1.252945981,0.058110719,0.058826463
240,220,9.00E-05,0.000078848,-2.59E-05,1.834557796,0.355018294,-1.020724026,0.064014066,0.064546141
240,240,0.000081284,0.000081256,-2.42E-05,1.206451628,1.207138254,0.00243624,0.069880967,0.070308713
240,260,0.000073244,8.31E-05,-2.24E-05,0.562502329,1.820877018,0.934872277,0.070209108,0.070196818
260,-260,4.11E-05,4.11E-05,-4.72E-06,2.176165912,-2.175170357,-2.168608113,0.015074667,-0.015442787
260,-240,4.32E-05,4.14E-05,-5.00E-06,2.175354518,-2.162015607,-2.166197401,0.015490118,-0.014806024
260,-220,4.50E-05,4.18E-05,-5.27E-06,2.173708606,-2.145649154,-2.163516615,0.015826858,-0.013517848
260,-200,4.67E-05,4.21E-05,-5.53E-06,2.172167894,-2.12717516,-2.159934888,0.016548431,-0.012806307
260,-180,4.86E-05,4.24E-05,-5.82E-06,2.171973917,-2.107155978,-2.150822418,0.017183858,-0.011996242
260,-160,5.17E-05,4.28E-05,-6.27E-06,2.170609873,-2.086008689,-2.145281518,0.017579021,-0.010752221
260,-140,5.53E-05,4.32E-05,-6.80E-06,2.16804468,-2.059719501,-2.141972265,0.018473393,-0.009564632
260,-120,5.87E-05,4.36E-05,-7.30E-06,2.167373252,-2.032468738,-2.136967174,0.019137302,-0.008531605
260,-100,6.26E-05,4.41E-05,-7.91E-06,2.16674254,-1.992960582,-2.131093697,0.019861913,-0.006675434
260,-80,6.84E-05,4.46E-05,-8.77E-06,2.165536734,-1.950234088,-2.124940311,0.020681758,-0.004868936
260,-60,7.29E-05,4.52E-05,-9.54E-06,2.162842903,-1.903456563,-2.117796791,0.021511035,-0.002765766
260,-40,7.96E-05,4.58E-05,-1.07E-05,2.159214899,-1.838506617,-2.107051533,0.022923253,0.000171032
260,-20,9.19E-05,4.67E-05,-1.26E-05,2.156863162,-1.766754746,-2.096371018,0.024039542,0.002896693
260,0,1.05E-04,4.77E-05,-1.48E-05,2.151855569,-1.666562512,-2.082239788,0.02574482,0.006751047
260,20,1.19E-04,4.89E-05,-1.74E-05,2.147016623,-1.56782173,-2.060029068,0.027564344,0.011038094
260,40,1.30E-04,5.03E-05,-1.99E-05,2.14112314,-1.407839456,-2.039420146,0.029832101,0.015477338
260,60,1.39E-04,5.19E-05,-2.23E-05,2.133334735,-1.297198407,-2.008597332,0.03230889,0.020553389
260,80,1.49E-04,5.41E-05,-2.56E-05,2.12654099,-1.148828919,-1.967377929,0.034926703,0.025912323
260,100,1.56E-04,5.67E-05,-2.88E-05,2.121168025,-0.991925072,-1.916943488,0.037358601,0.030872881
260,120,1.57E-04,5.96E-05,-3.11E-05,2.107087949,-0.864201106,-1.861020624,0.040903581,0.036636704
260,140,1.54E-04,6.34E-05,-3.32E-05,2.077832626,-0.647480202,-1.830287257,0.046353976,0.041929173
260,160,1.44E-04,6.66E-05,-3.30E-05,2.066826745,-0.47296426,-1.702008995,0.049277633,0.048110307
260,180,1.25E-04,6.89E-05,-3.04E-05,2.029807876,-0.227412644,-1.653676583,0.054910495,0.053624107
260,200,1.04E-04,7.04E-05,-2.65E-05,1.97893015,-0.029713572,-1.515360684,0.059431938,0.059360198
260,220,9.16E-05,7.18E-05,-2.41E-05,1.927664658,0.201770348,-1.376305138,0.064642653,0.065282644
260,240,8.32E-05,0.000073304,-2.25E-05,1.819937654,0.562769393,-0.943011639,0.070003728,0.070275768
260,260,0.000074568,0.000074548,-2.07E-05,1.306488858,1.306398958,-0.003553345,0.075649796,0.076228199
